year,name,party,abortion,abortion_text,abortion_sentiment
1790,George Washington,none,0,[],NA
1791,George Washington,none,0,[],NA
1792,George Washington,none,0,[],NA
1793,George Washington,none,0,[],NA
1794,George Washington,none,0,[],NA
1795,George Washington,none,0,[],NA
1796,George Washington,none,0,[],NA
1797,John Adams,Federalist,0,[],NA
1798,John Adams,Federalist,0,[],NA
1799,John Adams,Federalist,0,[],NA
1800,John Adams,Federalist,0,[],NA
1801,Thomas Jefferson,Democratic-Republican,0,[],NA
1802,Thomas Jefferson,Democratic-Republican,0,[],NA
1803,Thomas Jefferson,Democratic-Republican,0,[],NA
1804,Thomas Jefferson,Democratic-Republican,0,[],NA
1805,Thomas Jefferson,Democratic-Republican,0,[],NA
1806,Thomas Jefferson,Democratic-Republican,0,[],NA
1807,Thomas Jefferson,Democratic-Republican,0,[],NA
1808,Thomas Jefferson,Democratic-Republican,0,[],NA
1809,James Madison,Democratic-Republican,0,[],NA
1810,James Madison,Democratic-Republican,0,[],NA
1811,James Madison,Democratic-Republican,0,[],NA
1812,James Madison,Democratic-Republican,0,[],NA
1813,James Madison,Democratic-Republican,0,[],NA
1814,James Madison,Democratic-Republican,0,[],NA
1815,James Madison,Democratic-Republican,0,[],NA
1816,James Madison,Democratic-Republican,0,[],NA
1817,James Monroe,Democratic-Republican,0,[],NA
1818,James Monroe,Democratic-Republican,0,[],NA
1819,James Monroe,Democratic-Republican,0,[],NA
1820,James Monroe,Democratic-Republican,0,[],NA
1821,James Monroe,Democratic-Republican,0,[],NA
1822,James Monroe,Democratic-Republican,0,[],NA
1823,James Monroe,Democratic-Republican,0,[],NA
1824,James Monroe,Democratic-Republican,0,[],NA
1825,John Quincy Adams,Democratic-Republican,0,[],NA
1826,John Quincy Adams,Democratic-Republican,0,[],NA
1827,John Quincy Adams,Democratic-Republican,0,[],NA
1828,John Quincy Adams,Democratic-Republican,0,[],NA
1829,Andrew Jackson,Democratic,0,[],NA
1830,Andrew Jackson,Democratic,0,[],NA
1831,Andrew Jackson,Democratic,0,[],NA
1832,Andrew Jackson,Democratic,0,[],NA
1833,Andrew Jackson,Democratic,0,[],NA
1834,Andrew Jackson,Democratic,0,[],NA
1835,Andrew Jackson,Democratic,0,[],NA
1836,Andrew Jackson,Democratic,0,[],NA
1837,Martin Van Buren,Democratic,0,[],NA
1838,Martin Van Buren,Democratic,0,[],NA
1839,Martin Van Buren,Democratic,0,[],NA
1840,Martin Van Buren,Democratic,0,[],NA
1841,John Tyler,Whig & Democratic,0,[],NA
1842,John Tyler,Whig & Democratic,0,[],NA
1843,John Tyler,Whig & Democratic,0,[],NA
1844,John Tyler,Whig & Democratic,0,[],NA
1845,James Polk,Democratic,0,[],NA
1846,James Polk,Democratic,0,[],NA
1847,James Polk,Democratic,0,[],NA
1848,James Polk,Democratic,0,[],NA
1849,Zachary Taylor,Whig,0,[],NA
1850,Millard Fillmore,Whig,0,[],NA
1851,Millard Fillmore,Whig,0,[],NA
1852,Millard Fillmore,Whig,0,[],NA
1853,Franklin Pierce,Democratic,0,[],NA
1854,Franklin Pierce,Democratic,0,[],NA
1855,Franklin Pierce,Democratic,0,[],NA
1856,Franklin Pierce,Democratic,0,[],NA
1857,James Buchanan,Democratic,0,[],NA
1858,James Buchanan,Democratic,0,[],NA
1859,James Buchanan,Democratic,0,[],NA
1860,James Buchanan,Democratic,0,[],NA
1861,Abraham Lincoln,Republican,0,[],NA
1862,Abraham Lincoln,Republican,0,[],NA
1863,Abraham Lincoln,Republican,0,[],NA
1864,Abraham Lincoln,Republican,0,[],NA
1865,Andrew Johnson,National Union,0,[],NA
1866,Andrew Johnson,National Union,0,[],NA
1867,Andrew Johnson,National Union,0,[],NA
1868,Andrew Johnson,National Union,0,[],NA
1869,Ulysses S Grant,Republican,0,[],NA
1870,Ulysses S Grant,Republican,0,[],NA
1871,Ulysses S Grant,Republican,0,[],NA
1872,Ulysses S Grant,Republican,0,[],NA
1873,Ulysses S Grant,Republican,0,[],NA
1874,Ulysses S Grant,Republican,0,[],NA
1875,Ulysses S Grant,Republican,0,[],NA
1876,Ulysses S Grant,Republican,0,[],NA
1877,Rutherford B Hayes,Republican,0,[],NA
1878,Rutherford B Hayes,Republican,0,[],NA
1879,Rutherford B Hayes,Republican,0,[],NA
1880,Rutherford B Hayes,Republican,0,[],NA
1881,Chester A Arthur,Republican,0,[],NA
1882,Chester A Arthur,Republican,0,[],NA
1883,Chester A Arthur,Republican,0,[],NA
1884,Chester A Arthur,Republican,0,[],NA
1885,Grover Cleveland,Democratic,0,[],NA
1886,Grover Cleveland,Democratic,0,[],NA
1887,Grover Cleveland,Democratic,0,[],NA
1888,Grover Cleveland,Democratic,0,[],NA
1889,Benjamin Harrison,Republican,0,[],NA
1890,Benjamin Harrison,Republican,0,[],NA
1891,Benjamin Harrison,Republican,0,[],NA
1892,Benjamin Harrison,Republican,0,[],NA
1893,Grover Cleveland,Democratic,0,[],NA
1894,Grover Cleveland,Democratic,0,[],NA
1895,Grover Cleveland,Democratic,0,[],NA
1896,Grover Cleveland,Democratic,0,[],NA
1897,William Mc Kinley,Republican,0,[],NA
1898,William Mc Kinley,Republican,0,[],NA
1899,William Mc Kinley,Republican,0,[],NA
1900,William Mc Kinley,Republican,0,[],NA
1901,Theodore Roosevelt,Republican,0,[],NA
1902,Theodore Roosevelt,Republican,0,[],NA
1903,Theodore Roosevelt,Republican,0,[],NA
1904,Theodore Roosevelt,Republican,0,[],NA
1905,Theodore Roosevelt,Republican,0,[],NA
1906,Theodore Roosevelt,Republican,0,[],NA
1907,Theodore Roosevelt,Republican,0,[],NA
1908,Theodore Roosevelt,Republican,0,[],NA
1909,William H Taft,Republican,0,[],NA
1910,William H Taft,Republican,0,[],NA
1911,William H Taft,Republican,0,[],NA
1912,William H Taft,Republican,0,[],NA
1913,Woodrow Wilson,Democratic,0,[],NA
1914,Woodrow Wilson,Democratic,0,[],NA
1915,Woodrow Wilson,Democratic,0,[],NA
1916,Woodrow Wilson,Democratic,0,[],NA
1917,Woodrow Wilson,Democratic,0,[],NA
1918,Woodrow Wilson,Democratic,0,[],NA
1919,Woodrow Wilson,Democratic,0,[],NA
1920,Woodrow Wilson,Democratic,0,[],NA
1921,Warren G Harding,Republican,0,[],NA
1922,Warren G Harding,Republican,0,[],NA
1923,Calvin Coolidge,Republican,0,[],NA
1924,Calvin Coolidge,Republican,0,[],NA
1925,Calvin Coolidge,Republican,0,[],NA
1926,Calvin Coolidge,Republican,0,[],NA
1927,Calvin Coolidge,Republican,0,[],NA
1928,Calvin Coolidge,Republican,0,[],NA
1929,Herbert Hoover,Republican,0,[],NA
1930,Herbert Hoover,Republican,0,[],NA
1931,Herbert Hoover,Republican,0,[],NA
1932,Herbert Hoover,Republican,0,[],NA
1934,Franklin D Roosevelt,Democratic,0,[],NA
1935,Franklin D Roosevelt,Democratic,0,[],NA
1936,Franklin D Roosevelt,Democratic,0,[],NA
1937,Franklin D Roosevelt,Democratic,0,[],NA
1938,Franklin D Roosevelt,Democratic,0,[],NA
1939,Franklin D Roosevelt,Democratic,0,[],NA
1940,Franklin D Roosevelt,Democratic,0,[],NA
1941,Franklin D Roosevelt,Democratic,0,[],NA
1942,Franklin D Roosevelt,Democratic,0,[],NA
1943,Franklin D Roosevelt,Democratic,0,[],NA
1944,Franklin D Roosevelt,Democratic,0,[],NA
1945,Franklin D Roosevelt,Democratic,0,[],NA
1946,Harry S Truman,Democratic,0,[],NA
1947,Harry S Truman,Democratic,0,[],NA
1948,Harry S Truman,Democratic,0,[],NA
1949,Harry S Truman,Democratic,0,[],NA
1950,Harry S Truman,Democratic,0,[],NA
1951,Harry S Truman,Democratic,0,[],NA
1952,Harry S Truman,Democratic,0,[],NA
1953,Harry S Truman,Democratic,0,[],NA
1953,Harry S Truman,Democratic,0,[],NA
1953,Dwight D Eisenhower,Republican,0,[],NA
1953,Dwight D Eisenhower,Republican,0,[],NA
1954,Dwight D Eisenhower,Republican,0,[],NA
1955,Dwight D Eisenhower,Republican,0,[],NA
1956,Dwight D Eisenhower,Republican,0,[],NA
1957,Dwight D Eisenhower,Republican,0,[],NA
1958,Dwight D Eisenhower,Republican,0,[],NA
1959,Dwight D Eisenhower,Republican,0,[],NA
1960,Dwight D Eisenhower,Republican,0,[],NA
1961,John F Kennedy,Democratic,0,[],NA
1961,John F Kennedy,Democratic,0,[],NA
