year,name,party,climate,climate_text,climate_sentiment
1790,George Washington,none,0,[],NA
1791,George Washington,none,0,[],NA
1792,George Washington,none,0,[],NA
1793,George Washington,none,0,[],NA
1794,George Washington,none,0,[],NA
1795,George Washington,none,0,[],NA
1796,George Washington,none,0,[],NA
1797,John Adams,Federalist,0,[],NA
1798,John Adams,Federalist,0,[],NA
1799,John Adams,Federalist,0,[],NA
1800,John Adams,Federalist,0,[],NA
1801,Thomas Jefferson,Democratic-Republican,0,[],NA
1802,Thomas Jefferson,Democratic-Republican,0,[],NA
1803,Thomas Jefferson,Democratic-Republican,1,"['Whilst the property and sovereignty of the Mississippi and its waters secure an independent outlet for the produce of the Western States and an uncontrolled navigation through their whole course, free from collision with other powers and the dangers to our peace from that source, the fertility of the country, its climate and extent, promise in due season important aids to our Treasury, an ample provision for our posterity, and a wide spread for the blessings of freedom and equal laws.']",Neutral
1804,Thomas Jefferson,Democratic-Republican,0,[],NA
1805,Thomas Jefferson,Democratic-Republican,0,[],NA
1806,Thomas Jefferson,Democratic-Republican,0,[],NA
1807,Thomas Jefferson,Democratic-Republican,0,[],NA
1808,Thomas Jefferson,Democratic-Republican,1,"['Husbandry and household manufacture are advancing among them more rapidly with the Southern than Northern tribes, from circumstances of soil and climate, and one of the two great divisions of the Cherokee Nation have now under consideration to solicit the citizenship of the United States, and to be identified with us in laws and government in such progressive manner as we shall think best.']",Neutral
1809,James Madison,Democratic-Republican,0,[],NA
1810,James Madison,Democratic-Republican,0,[],NA
1811,James Madison,Democratic-Republican,0,[],NA
1812,James Madison,Democratic-Republican,0,[],NA
1813,James Madison,Democratic-Republican,0,[],NA
1814,James Madison,Democratic-Republican,0,[],NA
1815,James Madison,Democratic-Republican,0,[],NA
1816,James Madison,Democratic-Republican,0,"['Such, however, is the variety of soils, of climates, and of products within our extensive limits that the aggregate resources for subsistence are more than sufficient for the aggregate wants.']",Neutral
1817,James Monroe,Democratic-Republican,0,[],NA
1818,James Monroe,Democratic-Republican,0,[],NA
1819,James Monroe,Democratic-Republican,0,[],NA
1820,James Monroe,Democratic-Republican,1,"['In the progress of a nation inhabiting a territory of such vast extent and great variety of climate, every portion of which is engaged in foreign commerce and liable to be affected in some degree by the changes which occur in the condition and regulations of foreign countries, it would be strange if the produce of our soil and the industry and enterprise of our fellow citizens received at all times and in every quarter an uniform and equal encouragement.']",Neutral
1821,James Monroe,Democratic-Republican,0,[],NA
1822,James Monroe,Democratic-Republican,0,[],NA
1823,James Monroe,Democratic-Republican,1,"['And in reflecting with high satisfaction on the honorable manner in which they have sustained the reputation of their country and its Navy, the sentiment is alloyed only by a concern that in the fulfillment of that arduous service the diseases incident to the season and to the climate in which it was discharged have deprived the nation of many useful lives, and among them of several officers of great promise.']",Neutral
1824,James Monroe,Democratic-Republican,1,"['Experience has already shewn that the difference of climate and of industry, proceeding from that cause, inseparable from such vast domains, and which under other systems might have a repulsive tendency, can not fail to produce with us under wise regulations the opposite effect.']",Neutral
1825,John Quincy Adams,Democratic-Republican,0,[],NA
1826,John Quincy Adams,Democratic-Republican,0,[],NA
1827,John Quincy Adams,Democratic-Republican,0,[],NA
1828,John Quincy Adams,Democratic-Republican,0,[],NA
1829,Andrew Jackson,Democratic,0,[],NA
1830,Andrew Jackson,Democratic,2,"['I sincerely regret to inform you that our minister lately commissioned to that Court, on whose distinguished talents and great experience in public affairs I place great reliance, has been compelled by extreme indisposition to exercise a privilege which, in consideration of the extent to which his constitution had been impaired in the public service, was committed to his discretion-of leaving temporarily his post for the advantage of a more genial climate.', 'Those diversities arising from situation, climate, population, and pursuits are doubtless, as it is natural they should be, greatly exaggerated by jealousies and that spirit of rivalry so inseparable from neighboring communities.']",Neutral
1831,Andrew Jackson,Democratic,0,[],NA
1832,Andrew Jackson,Democratic,0,[],NA
1833,Andrew Jackson,Democratic,0,[],NA
1834,Andrew Jackson,Democratic,0,[],NA
1835,Andrew Jackson,Democratic,0,[],NA
1836,Andrew Jackson,Democratic,0,[],NA
1837,Martin Van Buren,Democratic,0,[],NA
1838,Martin Van Buren,Democratic,3,"['Though the anticipations of an abundant harvest have not everywhere been realized, yet on the whole the labors of the husbandman are rewarded with a bountiful return; industry prospers in its various channels of business and enterprise; general health again prevails through our vast diversity of climate; nothing threatens from abroad the continuance of external peace; nor has anything at home impaired the strength of those fraternal and domestic ties which constitute the only guaranty to the success and permanency of our happy Union, and which, formed in the hour of peril, have hitherto been honorably sustained through every vicissitude in our national affairs.', 'To the Cherokees, whose case has perhaps excited the greatest share of attention and sympathy, the United States have granted in fee, with a perpetual guaranty of exclusive and peaceable possession, 13,554,135 acres of land on the west side of the Mississippi, eligibly situated, in a healthy climate, and in all respects better suited to their condition than the country they have left, in exchange for only 9,492, 160 acres on the east side of the same river.', 'Experience has shown that but little is to be gained by the march of armies through a country so intersected with inaccessible swamps and marshes, and which, from the fatal character of the climate, must be abandoned at the end of the winter.']",Neutral
1839,Martin Van Buren,Democratic,1,"['Our surplus profits, the energy and industry of our population, and the wonderful advantages which Providence has bestowed upon our country in its climate, its various productions, indispensable to other nations, will in due time afford abundant means to perfect the most useful of those objects for which the States have been plunging themselves of late in embarrassment and debt, without imposing on ourselves or our children such fearful burdens.']",Neutral
1840,Martin Van Buren,Democratic,1,"['Experienced generals have had the command of the troops, officers and soldiers have alike distinguished themselves for their activity, patience, and enduring courage, the army has been constantly furnished with supplies of every description, and we must look for the causes which have so long procrastinated the issue of the contest in the vast extent of the theater of hostilities, the almost insurmountable obstacles presented by the nature of the country, the climate, and the wily character of the savages.']",Neutral
1841,John Tyler,Whig & Democratic,1,"['In despite of the sickness incident to the climate, they have penetrated the fastnesses of the Indians, broken up their encampments, and harassed them unceasingly.']",Neutral
1842,John Tyler,Whig & Democratic,1,"['At peace with all the world, the personal liberty of the citizen sacredly maintained and his rights secured under political institutions deriving all their authority from the direct sanction of the people, with a soil fertile almost beyond example and a country blessed with every diversity of climate and production, what remains to be done in order to advance the happiness and prosperity of such a people?']",Neutral
1843,John Tyler,Whig & Democratic,0,[],NA
1844,John Tyler,Whig & Democratic,0,[],NA
1845,James Polk,Democratic,0,[],NA
1846,James Polk,Democratic,0,[],NA
1847,James Polk,Democratic,0,[],NA
1848,James Polk,Democratic,4,"['The salubrity of climate, the fertility of soil, peculiarly adapted to the production of some of our most valuable staple commodities, and her commercial advantages must soon make her one of our most populous States.', 'Extending nearly ten degrees of latitude along the Pacific, and embracing the only safe and commodious harbors on that coast for many hundred miles, with a temperate climate and an extensive interior of fertile lands, it is scarcely possible to estimate its wealth until it shall be brought under the government of our laws and its resources fully developed.', 'Attracted by their great fertility, their mineral wealth, their commercial advantages, and the salubrity of the climate, emigrants from the older States in great numbers are already preparing to seek new homes in these inviting regions.', 'From the nature of the climate and productions in much the larger portion of it it is certain it could never exist, and in the remainder the probabilities are it would not.']",Neutral
1849,Zachary Taylor,Whig,0,[],NA
1850,Millard Fillmore,Whig,0,[],NA
1851,Millard Fillmore,Whig,2,"['An agricultural bureau, charged with the duty of collecting and disseminating correct information as to the best modes of cultivation and of the most effectual means of preserving and restoring the fertility of the soil and of procuring and distributing seeds and plants and other vegetable productions, with instructions in regard to the soil, climate, and treatment best adapted to their growth, could not fail to be, in the language of Washington in his last annual message to Congress, a ""very cheap instrument of immense national benefit.""', 'The expedition commanded by Lieutenant De Haven, dispatched in search of the British commander Sir John Franklin and his companions in the Arctic Seas, returned to New York in the month of October, after having undergone great peril and suffering from an unknown and dangerous navigation and the rigors of a northern climate, without any satisfactory information of the objects of their search, but with new contributions to science and navigation from the unfrequented polar regions.']",Neutral
1852,Millard Fillmore,Whig,0,[],NA
1853,Franklin Pierce,Democratic,1,"['While men inhabiting different parts of this vast continent can no more be expected to hold the same opinions or entertain the same sentiments than every variety of climate or soil can be expected to furnish the same agricultural products, they can unite in a common object and sustain common principles essential to the maintenance of that object.']",Neutral
1854,Franklin Pierce,Democratic,0,[],NA
1855,Franklin Pierce,Democratic,2,"['The several colonies differed in climate, in soil, in natural productions, in religion, in systems of education, in legislation, and in the forms of political administration, and they continued to differ in these respects when they voluntarily allied themselves as States to carry on the War of the Revolution.', 'A population of this class, held in subjection, existed in nearly all the States, but was more numerous and of more serious concernment in the South than in the North on account of natural differences of climate and production; and it was foreseen that, for the same reasons, while this population would diminish and sooner or later cease to exist in some States, it might increase in others.']",Neutral
