Country,Year,Mentions,Party,President
USA,1790,3,Other,George Washington
MEXICO,1790,0,Other,George Washington
GREAT BRITAIN,1790,0,Other,George Washington
SPAIN,1790,0,Other,George Washington
FRANCE,1790,0,Other,George Washington
CHINA,1790,0,Other,George Washington
CUBA,1790,0,Other,George Washington
USSR/RUSSIA,1790,0,Other,George Washington
JAPAN,1790,0,Other,George Washington
GERMANY,1790,0,Other,George Washington
SOUTH KOREA,1790,0,Other,George Washington
UK,1790,0,Other,George Washington
IRAQ,1790,0,Other,George Washington
PHILIPPINES,1790,0,Other,George Washington
NICARAGUA,1790,0,Other,George Washington
AFGHANISTAN,1790,0,Other,George Washington
CANADA,1790,0,Other,George Washington
BRAZIL,1790,0,Other,George Washington
VENEZUELA,1790,0,Other,George Washington
IRAN,1790,0,Other,George Washington
TURKEY,1790,0,Other,George Washington
PERU,1790,0,Other,George Washington
VIETNAM,1790,0,Other,George Washington
PANAMA,1790,0,Other,George Washington
ITALY,1790,0,Other,George Washington
PORTUGAL,1790,0,Other,George Washington
CHILE,1790,0,Other,George Washington
AUSTRIA,1790,0,Other,George Washington
COLOMBIA,1790,0,Other,George Washington
NETHERLANDS,1790,1,Other,George Washington
DENMARK,1790,0,Other,George Washington
ISRAEL,1790,0,Other,George Washington
EGYPT,1790,0,Other,George Washington
BELGIUM,1790,0,Other,George Washington
SWEDEN,1790,0,Other,George Washington
COSTA RICA,1790,0,Other,George Washington
ARGENTINA,1790,0,Other,George Washington
LIBERIA,1790,0,Other,George Washington
GREECE,1790,0,Other,George Washington
POLAND,1790,0,Other,George Washington
BOLIVIA,1790,0,Other,George Washington
HONDURAS,1790,0,Other,George Washington
INDIA,1790,0,Other,George Washington
GENEVA,1790,0,Other,George Washington
ECUADOR,1790,0,Other,George Washington
PAKISTAN,1790,0,Other,George Washington
THE WEST INDIES,1790,0,Other,George Washington
LIBYA,1790,0,Other,George Washington
NORWAY,1790,0,Other,George Washington
PRUSSIA,1790,0,Other,George Washington
AUSTRALIA,1790,0,Other,George Washington
UKRAINE,1790,0,Other,George Washington
HUNGARY,1790,0,Other,George Washington
LEBANON,1790,0,Other,George Washington
NORTH KOREA,1790,0,Other,George Washington
GUATEMALA,1790,0,Other,George Washington
HAITI,1790,0,Other,George Washington
SWITZERLAND,1790,0,Other,George Washington
SYRIA,1790,0,Other,George Washington
MOROCCO,1790,0,Other,George Washington
THE DOMINICAN REPUBLIC,1790,0,Other,George Washington
NEW ZEALAND,1790,0,Other,George Washington
PALESTINE,1790,0,Other,George Washington
BULGARIA,1790,0,Other,George Washington
IRELAND,1790,0,Other,George Washington
BOSNIA,1790,0,Other,George Washington
ARMENIA,1790,0,Other,George Washington
EL SALVADOR,1790,0,Other,George Washington
INDONESIA,1790,0,Other,George Washington
KOSOVO,1790,0,Other,George Washington
LAOS,1790,0,Other,George Washington
NIGERIA,1790,0,Other,George Washington
YEMEN,1790,0,Other,George Washington
CZECHOSLOVAKIA,1790,0,Other,George Washington
NORTHERN IRELAND,1790,0,Other,George Washington
SOMALIA,1790,0,Other,George Washington
URUGUAY,1790,0,Other,George Washington
CAMBODIA,1790,0,Other,George Washington
SAUDI ARABIA,1790,0,Other,George Washington
SOUTH AFRICA,1790,0,Other,George Washington
YUGOSLAVIA,1790,0,Other,George Washington
FINLAND,1790,0,Other,George Washington
THAILAND,1790,0,Other,George Washington
JORDAN,1790,0,Other,George Washington
KUWAIT,1790,0,Other,George Washington
LITHUANIA,1790,0,Other,George Washington
SUDAN,1790,0,Other,George Washington
TAIWAN,1790,0,Other,George Washington
USA,1791,16,Other,George Washington
MEXICO,1791,0,Other,George Washington
GREAT BRITAIN,1791,0,Other,George Washington
SPAIN,1791,0,Other,George Washington
FRANCE,1791,0,Other,George Washington
CHINA,1791,0,Other,George Washington
CUBA,1791,0,Other,George Washington
USSR/RUSSIA,1791,0,Other,George Washington
JAPAN,1791,0,Other,George Washington
GERMANY,1791,0,Other,George Washington
SOUTH KOREA,1791,0,Other,George Washington
UK,1791,0,Other,George Washington
IRAQ,1791,0,Other,George Washington
PHILIPPINES,1791,0,Other,George Washington
NICARAGUA,1791,0,Other,George Washington
AFGHANISTAN,1791,0,Other,George Washington
CANADA,1791,0,Other,George Washington
BRAZIL,1791,0,Other,George Washington
VENEZUELA,1791,0,Other,George Washington
IRAN,1791,0,Other,George Washington
TURKEY,1791,0,Other,George Washington
PERU,1791,0,Other,George Washington
VIETNAM,1791,0,Other,George Washington
PANAMA,1791,0,Other,George Washington
ITALY,1791,0,Other,George Washington
PORTUGAL,1791,0,Other,George Washington
CHILE,1791,0,Other,George Washington
AUSTRIA,1791,0,Other,George Washington
COLOMBIA,1791,0,Other,George Washington
NETHERLANDS,1791,1,Other,George Washington
DENMARK,1791,0,Other,George Washington
ISRAEL,1791,0,Other,George Washington
EGYPT,1791,0,Other,George Washington
BELGIUM,1791,0,Other,George Washington
SWEDEN,1791,0,Other,George Washington
COSTA RICA,1791,0,Other,George Washington
ARGENTINA,1791,0,Other,George Washington
LIBERIA,1791,0,Other,George Washington
GREECE,1791,0,Other,George Washington
POLAND,1791,0,Other,George Washington
BOLIVIA,1791,0,Other,George Washington
HONDURAS,1791,0,Other,George Washington
INDIA,1791,0,Other,George Washington
GENEVA,1791,0,Other,George Washington
ECUADOR,1791,0,Other,George Washington
PAKISTAN,1791,0,Other,George Washington
THE WEST INDIES,1791,0,Other,George Washington
LIBYA,1791,0,Other,George Washington
NORWAY,1791,0,Other,George Washington
PRUSSIA,1791,0,Other,George Washington
AUSTRALIA,1791,0,Other,George Washington
UKRAINE,1791,0,Other,George Washington
HUNGARY,1791,0,Other,George Washington
LEBANON,1791,0,Other,George Washington
NORTH KOREA,1791,0,Other,George Washington
GUATEMALA,1791,0,Other,George Washington
HAITI,1791,0,Other,George Washington
SWITZERLAND,1791,0,Other,George Washington
SYRIA,1791,0,Other,George Washington
MOROCCO,1791,0,Other,George Washington
THE DOMINICAN REPUBLIC,1791,0,Other,George Washington
NEW ZEALAND,1791,0,Other,George Washington
PALESTINE,1791,0,Other,George Washington
BULGARIA,1791,0,Other,George Washington
IRELAND,1791,0,Other,George Washington
BOSNIA,1791,0,Other,George Washington
ARMENIA,1791,0,Other,George Washington
EL SALVADOR,1791,0,Other,George Washington
INDONESIA,1791,0,Other,George Washington
KOSOVO,1791,0,Other,George Washington
LAOS,1791,0,Other,George Washington
NIGERIA,1791,0,Other,George Washington
YEMEN,1791,0,Other,George Washington
CZECHOSLOVAKIA,1791,0,Other,George Washington
NORTHERN IRELAND,1791,0,Other,George Washington
SOMALIA,1791,0,Other,George Washington
URUGUAY,1791,0,Other,George Washington
CAMBODIA,1791,0,Other,George Washington
SAUDI ARABIA,1791,0,Other,George Washington
SOUTH AFRICA,1791,0,Other,George Washington
YUGOSLAVIA,1791,0,Other,George Washington
FINLAND,1791,0,Other,George Washington
THAILAND,1791,0,Other,George Washington
JORDAN,1791,0,Other,George Washington
KUWAIT,1791,0,Other,George Washington
LITHUANIA,1791,0,Other,George Washington
SUDAN,1791,0,Other,George Washington
TAIWAN,1791,0,Other,George Washington
USA,1792,4,Other,George Washington
MEXICO,1792,0,Other,George Washington
GREAT BRITAIN,1792,0,Other,George Washington
SPAIN,1792,0,Other,George Washington
FRANCE,1792,0,Other,George Washington
CHINA,1792,0,Other,George Washington
CUBA,1792,0,Other,George Washington
USSR/RUSSIA,1792,0,Other,George Washington
JAPAN,1792,0,Other,George Washington
GERMANY,1792,0,Other,George Washington
SOUTH KOREA,1792,0,Other,George Washington
UK,1792,0,Other,George Washington
IRAQ,1792,0,Other,George Washington
PHILIPPINES,1792,0,Other,George Washington
NICARAGUA,1792,0,Other,George Washington
AFGHANISTAN,1792,0,Other,George Washington
CANADA,1792,0,Other,George Washington
BRAZIL,1792,0,Other,George Washington
VENEZUELA,1792,0,Other,George Washington
IRAN,1792,0,Other,George Washington
TURKEY,1792,0,Other,George Washington
PERU,1792,0,Other,George Washington
VIETNAM,1792,0,Other,George Washington
PANAMA,1792,0,Other,George Washington
ITALY,1792,0,Other,George Washington
PORTUGAL,1792,0,Other,George Washington
CHILE,1792,0,Other,George Washington
AUSTRIA,1792,0,Other,George Washington
COLOMBIA,1792,0,Other,George Washington
NETHERLANDS,1792,0,Other,George Washington
DENMARK,1792,0,Other,George Washington
ISRAEL,1792,0,Other,George Washington
EGYPT,1792,0,Other,George Washington
BELGIUM,1792,0,Other,George Washington
SWEDEN,1792,0,Other,George Washington
COSTA RICA,1792,0,Other,George Washington
ARGENTINA,1792,0,Other,George Washington
LIBERIA,1792,0,Other,George Washington
GREECE,1792,0,Other,George Washington
POLAND,1792,0,Other,George Washington
BOLIVIA,1792,0,Other,George Washington
HONDURAS,1792,0,Other,George Washington
INDIA,1792,0,Other,George Washington
GENEVA,1792,0,Other,George Washington
ECUADOR,1792,0,Other,George Washington
PAKISTAN,1792,0,Other,George Washington
THE WEST INDIES,1792,0,Other,George Washington
LIBYA,1792,0,Other,George Washington
NORWAY,1792,0,Other,George Washington
PRUSSIA,1792,0,Other,George Washington
AUSTRALIA,1792,0,Other,George Washington
UKRAINE,1792,0,Other,George Washington
HUNGARY,1792,0,Other,George Washington
LEBANON,1792,0,Other,George Washington
NORTH KOREA,1792,0,Other,George Washington
GUATEMALA,1792,0,Other,George Washington
HAITI,1792,0,Other,George Washington
SWITZERLAND,1792,0,Other,George Washington
SYRIA,1792,0,Other,George Washington
MOROCCO,1792,0,Other,George Washington
THE DOMINICAN REPUBLIC,1792,0,Other,George Washington
NEW ZEALAND,1792,0,Other,George Washington
PALESTINE,1792,0,Other,George Washington
BULGARIA,1792,0,Other,George Washington
IRELAND,1792,0,Other,George Washington
BOSNIA,1792,0,Other,George Washington
ARMENIA,1792,0,Other,George Washington
EL SALVADOR,1792,0,Other,George Washington
INDONESIA,1792,0,Other,George Washington
KOSOVO,1792,0,Other,George Washington
LAOS,1792,0,Other,George Washington
NIGERIA,1792,0,Other,George Washington
YEMEN,1792,0,Other,George Washington
CZECHOSLOVAKIA,1792,0,Other,George Washington
NORTHERN IRELAND,1792,0,Other,George Washington
SOMALIA,1792,0,Other,George Washington
URUGUAY,1792,0,Other,George Washington
CAMBODIA,1792,0,Other,George Washington
SAUDI ARABIA,1792,0,Other,George Washington
SOUTH AFRICA,1792,0,Other,George Washington
YUGOSLAVIA,1792,0,Other,George Washington
FINLAND,1792,0,Other,George Washington
THAILAND,1792,0,Other,George Washington
JORDAN,1792,0,Other,George Washington
KUWAIT,1792,0,Other,George Washington
LITHUANIA,1792,0,Other,George Washington
SUDAN,1792,0,Other,George Washington
TAIWAN,1792,0,Other,George Washington
USA,1793,23,Other,George Washington
MEXICO,1793,0,Other,George Washington
GREAT BRITAIN,1793,0,Other,George Washington
SPAIN,1793,0,Other,George Washington
FRANCE,1793,1,Other,George Washington
CHINA,1793,0,Other,George Washington
CUBA,1793,0,Other,George Washington
USSR/RUSSIA,1793,0,Other,George Washington
JAPAN,1793,0,Other,George Washington
GERMANY,1793,0,Other,George Washington
SOUTH KOREA,1793,0,Other,George Washington
UK,1793,0,Other,George Washington
IRAQ,1793,0,Other,George Washington
PHILIPPINES,1793,0,Other,George Washington
NICARAGUA,1793,0,Other,George Washington
AFGHANISTAN,1793,0,Other,George Washington
CANADA,1793,0,Other,George Washington
BRAZIL,1793,0,Other,George Washington
VENEZUELA,1793,0,Other,George Washington
IRAN,1793,0,Other,George Washington
TURKEY,1793,0,Other,George Washington
PERU,1793,0,Other,George Washington
VIETNAM,1793,0,Other,George Washington
PANAMA,1793,0,Other,George Washington
ITALY,1793,0,Other,George Washington
PORTUGAL,1793,0,Other,George Washington
CHILE,1793,0,Other,George Washington
AUSTRIA,1793,0,Other,George Washington
COLOMBIA,1793,0,Other,George Washington
NETHERLANDS,1793,1,Other,George Washington
DENMARK,1793,0,Other,George Washington
ISRAEL,1793,0,Other,George Washington
EGYPT,1793,0,Other,George Washington
BELGIUM,1793,0,Other,George Washington
SWEDEN,1793,0,Other,George Washington
COSTA RICA,1793,0,Other,George Washington
ARGENTINA,1793,0,Other,George Washington
LIBERIA,1793,0,Other,George Washington
GREECE,1793,0,Other,George Washington
POLAND,1793,0,Other,George Washington
BOLIVIA,1793,0,Other,George Washington
HONDURAS,1793,0,Other,George Washington
INDIA,1793,0,Other,George Washington
GENEVA,1793,0,Other,George Washington
ECUADOR,1793,0,Other,George Washington
PAKISTAN,1793,0,Other,George Washington
THE WEST INDIES,1793,0,Other,George Washington
LIBYA,1793,0,Other,George Washington
NORWAY,1793,0,Other,George Washington
PRUSSIA,1793,0,Other,George Washington
AUSTRALIA,1793,0,Other,George Washington
UKRAINE,1793,0,Other,George Washington
HUNGARY,1793,0,Other,George Washington
LEBANON,1793,0,Other,George Washington
NORTH KOREA,1793,0,Other,George Washington
GUATEMALA,1793,0,Other,George Washington
HAITI,1793,0,Other,George Washington
SWITZERLAND,1793,0,Other,George Washington
SYRIA,1793,0,Other,George Washington
MOROCCO,1793,0,Other,George Washington
THE DOMINICAN REPUBLIC,1793,0,Other,George Washington
NEW ZEALAND,1793,0,Other,George Washington
PALESTINE,1793,0,Other,George Washington
BULGARIA,1793,0,Other,George Washington
IRELAND,1793,0,Other,George Washington
BOSNIA,1793,0,Other,George Washington
ARMENIA,1793,0,Other,George Washington
EL SALVADOR,1793,0,Other,George Washington
INDONESIA,1793,0,Other,George Washington
KOSOVO,1793,0,Other,George Washington
LAOS,1793,0,Other,George Washington
NIGERIA,1793,0,Other,George Washington
YEMEN,1793,0,Other,George Washington
CZECHOSLOVAKIA,1793,0,Other,George Washington
NORTHERN IRELAND,1793,0,Other,George Washington
SOMALIA,1793,0,Other,George Washington
URUGUAY,1793,0,Other,George Washington
CAMBODIA,1793,0,Other,George Washington
SAUDI ARABIA,1793,0,Other,George Washington
SOUTH AFRICA,1793,0,Other,George Washington
YUGOSLAVIA,1793,0,Other,George Washington
FINLAND,1793,0,Other,George Washington
THAILAND,1793,0,Other,George Washington
JORDAN,1793,0,Other,George Washington
KUWAIT,1793,0,Other,George Washington
LITHUANIA,1793,0,Other,George Washington
SUDAN,1793,0,Other,George Washington
TAIWAN,1793,0,Other,George Washington
USA,1794,15,Other,George Washington
MEXICO,1794,0,Other,George Washington
GREAT BRITAIN,1794,0,Other,George Washington
SPAIN,1794,0,Other,George Washington
FRANCE,1794,0,Other,George Washington
CHINA,1794,0,Other,George Washington
CUBA,1794,0,Other,George Washington
USSR/RUSSIA,1794,0,Other,George Washington
JAPAN,1794,0,Other,George Washington
GERMANY,1794,0,Other,George Washington
SOUTH KOREA,1794,0,Other,George Washington
UK,1794,0,Other,George Washington
IRAQ,1794,0,Other,George Washington
PHILIPPINES,1794,0,Other,George Washington
NICARAGUA,1794,0,Other,George Washington
AFGHANISTAN,1794,0,Other,George Washington
CANADA,1794,0,Other,George Washington
BRAZIL,1794,0,Other,George Washington
VENEZUELA,1794,0,Other,George Washington
IRAN,1794,0,Other,George Washington
TURKEY,1794,0,Other,George Washington
PERU,1794,0,Other,George Washington
VIETNAM,1794,0,Other,George Washington
PANAMA,1794,0,Other,George Washington
ITALY,1794,0,Other,George Washington
PORTUGAL,1794,0,Other,George Washington
CHILE,1794,0,Other,George Washington
AUSTRIA,1794,0,Other,George Washington
COLOMBIA,1794,0,Other,George Washington
NETHERLANDS,1794,0,Other,George Washington
DENMARK,1794,0,Other,George Washington
ISRAEL,1794,0,Other,George Washington
EGYPT,1794,0,Other,George Washington
BELGIUM,1794,0,Other,George Washington
SWEDEN,1794,0,Other,George Washington
COSTA RICA,1794,0,Other,George Washington
ARGENTINA,1794,0,Other,George Washington
LIBERIA,1794,0,Other,George Washington
GREECE,1794,0,Other,George Washington
POLAND,1794,0,Other,George Washington
BOLIVIA,1794,0,Other,George Washington
HONDURAS,1794,0,Other,George Washington
INDIA,1794,0,Other,George Washington
GENEVA,1794,0,Other,George Washington
ECUADOR,1794,0,Other,George Washington
PAKISTAN,1794,0,Other,George Washington
THE WEST INDIES,1794,0,Other,George Washington
LIBYA,1794,0,Other,George Washington
NORWAY,1794,0,Other,George Washington
PRUSSIA,1794,0,Other,George Washington
AUSTRALIA,1794,0,Other,George Washington
UKRAINE,1794,0,Other,George Washington
HUNGARY,1794,0,Other,George Washington
LEBANON,1794,0,Other,George Washington
NORTH KOREA,1794,0,Other,George Washington
GUATEMALA,1794,0,Other,George Washington
HAITI,1794,0,Other,George Washington
SWITZERLAND,1794,0,Other,George Washington
SYRIA,1794,0,Other,George Washington
MOROCCO,1794,0,Other,George Washington
THE DOMINICAN REPUBLIC,1794,0,Other,George Washington
NEW ZEALAND,1794,0,Other,George Washington
PALESTINE,1794,0,Other,George Washington
BULGARIA,1794,0,Other,George Washington
IRELAND,1794,0,Other,George Washington
BOSNIA,1794,0,Other,George Washington
ARMENIA,1794,0,Other,George Washington
EL SALVADOR,1794,0,Other,George Washington
INDONESIA,1794,0,Other,George Washington
KOSOVO,1794,0,Other,George Washington
LAOS,1794,0,Other,George Washington
NIGERIA,1794,0,Other,George Washington
YEMEN,1794,0,Other,George Washington
CZECHOSLOVAKIA,1794,0,Other,George Washington
NORTHERN IRELAND,1794,0,Other,George Washington
SOMALIA,1794,0,Other,George Washington
URUGUAY,1794,0,Other,George Washington
CAMBODIA,1794,0,Other,George Washington
SAUDI ARABIA,1794,0,Other,George Washington
SOUTH AFRICA,1794,0,Other,George Washington
YUGOSLAVIA,1794,0,Other,George Washington
FINLAND,1794,0,Other,George Washington
THAILAND,1794,0,Other,George Washington
JORDAN,1794,0,Other,George Washington
KUWAIT,1794,0,Other,George Washington
LITHUANIA,1794,0,Other,George Washington
SUDAN,1794,0,Other,George Washington
TAIWAN,1794,0,Other,George Washington
USA,1795,5,Other,George Washington
MEXICO,1795,0,Other,George Washington
GREAT BRITAIN,1795,1,Other,George Washington
SPAIN,1795,0,Other,George Washington
FRANCE,1795,0,Other,George Washington
CHINA,1795,0,Other,George Washington
CUBA,1795,0,Other,George Washington
USSR/RUSSIA,1795,0,Other,George Washington
JAPAN,1795,0,Other,George Washington
GERMANY,1795,0,Other,George Washington
SOUTH KOREA,1795,0,Other,George Washington
UK,1795,0,Other,George Washington
IRAQ,1795,0,Other,George Washington
PHILIPPINES,1795,0,Other,George Washington
NICARAGUA,1795,0,Other,George Washington
AFGHANISTAN,1795,0,Other,George Washington
CANADA,1795,0,Other,George Washington
BRAZIL,1795,0,Other,George Washington
VENEZUELA,1795,0,Other,George Washington
IRAN,1795,0,Other,George Washington
TURKEY,1795,0,Other,George Washington
PERU,1795,0,Other,George Washington
VIETNAM,1795,0,Other,George Washington
PANAMA,1795,0,Other,George Washington
ITALY,1795,0,Other,George Washington
PORTUGAL,1795,0,Other,George Washington
CHILE,1795,0,Other,George Washington
AUSTRIA,1795,0,Other,George Washington
COLOMBIA,1795,0,Other,George Washington
NETHERLANDS,1795,0,Other,George Washington
DENMARK,1795,0,Other,George Washington
ISRAEL,1795,0,Other,George Washington
EGYPT,1795,0,Other,George Washington
BELGIUM,1795,0,Other,George Washington
SWEDEN,1795,0,Other,George Washington
COSTA RICA,1795,0,Other,George Washington
ARGENTINA,1795,0,Other,George Washington
LIBERIA,1795,0,Other,George Washington
GREECE,1795,0,Other,George Washington
POLAND,1795,0,Other,George Washington
BOLIVIA,1795,0,Other,George Washington
HONDURAS,1795,0,Other,George Washington
INDIA,1795,0,Other,George Washington
GENEVA,1795,0,Other,George Washington
ECUADOR,1795,0,Other,George Washington
PAKISTAN,1795,0,Other,George Washington
THE WEST INDIES,1795,0,Other,George Washington
LIBYA,1795,0,Other,George Washington
NORWAY,1795,0,Other,George Washington
PRUSSIA,1795,0,Other,George Washington
AUSTRALIA,1795,0,Other,George Washington
UKRAINE,1795,0,Other,George Washington
HUNGARY,1795,0,Other,George Washington
LEBANON,1795,0,Other,George Washington
NORTH KOREA,1795,0,Other,George Washington
GUATEMALA,1795,0,Other,George Washington
HAITI,1795,0,Other,George Washington
SWITZERLAND,1795,0,Other,George Washington
SYRIA,1795,0,Other,George Washington
MOROCCO,1795,1,Other,George Washington
THE DOMINICAN REPUBLIC,1795,0,Other,George Washington
NEW ZEALAND,1795,0,Other,George Washington
PALESTINE,1795,0,Other,George Washington
