year,name,party,oil,oil_text,oil_sentiment
1790,George Washington,none,0,[],NA
1791,George Washington,none,0,[],NA
1792,George Washington,none,0,[],NA
1793,George Washington,none,0,[],NA
1794,George Washington,none,0,[],NA
1795,George Washington,none,0,[],NA
1796,George Washington,none,0,[],NA
1797,John Adams,Federalist,0,[],NA
1798,John Adams,Federalist,0,[],NA
1799,John Adams,Federalist,0,[],NA
1800,John Adams,Federalist,0,[],NA
1801,Thomas Jefferson,Democratic-Republican,0,[],NA
1802,Thomas Jefferson,Democratic-Republican,0,[],NA
1803,Thomas Jefferson,Democratic-Republican,0,[],NA
1804,Thomas Jefferson,Democratic-Republican,0,[],NA
1805,Thomas Jefferson,Democratic-Republican,0,[],NA
1806,Thomas Jefferson,Democratic-Republican,0,[],NA
1807,Thomas Jefferson,Democratic-Republican,0,[],NA
1808,Thomas Jefferson,Democratic-Republican,0,[],NA
1809,James Madison,Democratic-Republican,0,[],NA
1810,James Madison,Democratic-Republican,0,[],NA
1811,James Madison,Democratic-Republican,0,[],NA
1812,James Madison,Democratic-Republican,0,[],NA
1813,James Madison,Democratic-Republican,0,[],NA
1814,James Madison,Democratic-Republican,0,[],NA
1815,James Madison,Democratic-Republican,0,[],NA
1816,James Madison,Democratic-Republican,0,[],NA
1817,James Monroe,Democratic-Republican,0,[],NA
1818,James Monroe,Democratic-Republican,0,[],NA
1819,James Monroe,Democratic-Republican,0,[],NA
1820,James Monroe,Democratic-Republican,0,[],NA
1821,James Monroe,Democratic-Republican,0,[],NA
1822,James Monroe,Democratic-Republican,0,[],NA
1823,James Monroe,Democratic-Republican,0,[],NA
1824,James Monroe,Democratic-Republican,0,[],NA
1825,John Quincy Adams,Democratic-Republican,0,[],NA
1826,John Quincy Adams,Democratic-Republican,0,[],NA
1827,John Quincy Adams,Democratic-Republican,0,[],NA
1828,John Quincy Adams,Democratic-Republican,0,[],NA
1829,Andrew Jackson,Democratic,0,[],NA
1830,Andrew Jackson,Democratic,0,[],NA
1831,Andrew Jackson,Democratic,0,[],NA
1832,Andrew Jackson,Democratic,0,[],NA
1833,Andrew Jackson,Democratic,0,[],NA
1834,Andrew Jackson,Democratic,0,[],NA
1835,Andrew Jackson,Democratic,0,[],NA
1836,Andrew Jackson,Democratic,0,[],NA
1837,Martin Van Buren,Democratic,0,[],NA
1838,Martin Van Buren,Democratic,0,[],NA
1839,Martin Van Buren,Democratic,0,[],NA
1840,Martin Van Buren,Democratic,0,[],NA
1841,John Tyler,Whig & Democratic,0,[],NA
1842,John Tyler,Whig & Democratic,0,[],NA
1843,John Tyler,Whig & Democratic,0,[],NA
1844,John Tyler,Whig & Democratic,0,[],NA
1845,James Polk,Democratic,0,[],NA
1846,James Polk,Democratic,0,[],NA
1847,James Polk,Democratic,0,[],NA
1848,James Polk,Democratic,0,[],NA
1849,Zachary Taylor,Whig,0,[],NA
1850,Millard Fillmore,Whig,0,[],NA
1851,Millard Fillmore,Whig,0,[],NA
1852,Millard Fillmore,Whig,0,[],NA
1853,Franklin Pierce,Democratic,0,[],NA
1854,Franklin Pierce,Democratic,0,[],NA
1855,Franklin Pierce,Democratic,0,[],NA
1856,Franklin Pierce,Democratic,0,[],NA
1857,James Buchanan,Democratic,0,[],NA
1858,James Buchanan,Democratic,0,[],NA
1859,James Buchanan,Democratic,0,[],NA
1860,James Buchanan,Democratic,0,[],NA
1861,Abraham Lincoln,Republican,0,[],NA
1862,Abraham Lincoln,Republican,0,[],NA
1863,Abraham Lincoln,Republican,0,[],NA
1864,Abraham Lincoln,Republican,0,[],NA
1865,Andrew Johnson,National Union,0,[],NA
1866,Andrew Johnson,National Union,0,[],NA
1867,Andrew Johnson,National Union,0,[],NA
1868,Andrew Johnson,National Union,0,[],NA
1869,Ulysses S Grant,Republican,0,[],NA
1870,Ulysses S Grant,Republican,0,[],NA
1871,Ulysses S Grant,Republican,0,[],NA
1872,Ulysses S Grant,Republican,0,[],NA
1873,Ulysses S Grant,Republican,0,"['The work has been done systematically, the plans, grades, location of sewers, water and gas mains being determined upon before the work was commenced, thus securing permanency when completed.']",Neutral
1874,Ulysses S Grant,Republican,0,[],NA
1875,Ulysses S Grant,Republican,0,[],NA
1876,Ulysses S Grant,Republican,0,[],NA
1877,Rutherford B Hayes,Republican,0,[],NA
1878,Rutherford B Hayes,Republican,0,[],NA
1879,Rutherford B Hayes,Republican,0,[],NA
1880,Rutherford B Hayes,Republican,0,[],NA
1881,Chester A Arthur,Republican,0,[],NA
1882,Chester A Arthur,Republican,0,[],NA
1883,Chester A Arthur,Republican,0,[],NA
1884,Chester A Arthur,Republican,0,[],NA
1885,Grover Cleveland,Democratic,0,[],NA
1886,Grover Cleveland,Democratic,0,[],NA
1887,Grover Cleveland,Democratic,0,[],NA
1888,Grover Cleveland,Democratic,0,[],NA
1889,Benjamin Harrison,Republican,0,[],NA
1890,Benjamin Harrison,Republican,0,[],NA
1891,Benjamin Harrison,Republican,0,[],NA
1892,Benjamin Harrison,Republican,0,[],NA
1893,Grover Cleveland,Democratic,0,[],NA
1894,Grover Cleveland,Democratic,0,[],NA
1895,Grover Cleveland,Democratic,0,[],NA
1896,Grover Cleveland,Democratic,0,[],NA
1897,William Mc Kinley,Republican,0,[],NA
1898,William Mc Kinley,Republican,0,[],NA
1899,William Mc Kinley,Republican,0,[],NA
1900,William Mc Kinley,Republican,2,"['No reply being received, on the morning of the 20th the German minister, Baron von Ketteler, set out for the Yamen to obtain a response, and oil the way was murdered.', ""I favor the recommendation of the Secretary of War for the detail oil officers from the line of the Army when vacancies occur in the Adjutant-General's Department, Inspector-General's Department, Quartermaster's Department, Subsistence Department, Pay Department, Ordnance Department, and Signal Corps.""]",Neutral
1901,Theodore Roosevelt,Republican,0,[],NA
1902,Theodore Roosevelt,Republican,0,[],NA
1903,Theodore Roosevelt,Republican,0,[],NA
1904,Theodore Roosevelt,Republican,0,[],NA
1905,Theodore Roosevelt,Republican,0,[],NA
1906,Theodore Roosevelt,Republican,0,[],NA
1907,Theodore Roosevelt,Republican,3,"['The mineral wealth of the country, the coal, iron, oil, gas, and the like, does not reproduce itself, and therefore is certain to be exhausted ultimately; and wastefulness in dealing with it to-day means that our descendants will feel the exhaustion a generation or two before they otherwise would.', 'What has been accomplished in the great oil fields of the Indian Territory by the action of the Administration, offers a striking example of the good results of such a policy.', 'In my judgment the Government should have the right to keep the fee of the coal, oil, and gas fields in its own possession and to lease the rights to develop them under proper regulations; or else, if the Congress will not adopt this method, the coal deposits should be sold under limitations, to conserve them as public utilities, the right to mine coal being separated from the title to the soil.']",Neutral
1908,Theodore Roosevelt,Republican,1,"['There are of course two kinds of natural resources, One is the kind which can only be used as part of a process of exhaustion; this is true of mines, natural oil and gas wells, and the like.']",Neutral
1909,William H Taft,Republican,0,[],NA
1910,William H Taft,Republican,0,[],NA
1911,William H Taft,Republican,1,"[""In my last annual message I discussed at length the reasons for the Government's assuming the task of furnishing to all ships that use the canal, whether our own naval vessels or others, the supplies of coal and oil and other necessities with which they must be replenished either before or after passing through the canal, together with the dock facilities and repairs of every character.""]",Neutral
1912,William H Taft,Republican,2,"[""SPECIAL MISSION OF CONDOLENCE TO JAPAN In August last I accredited the Secretary of State as special ambassador to Japan, charged with the mission of bearing to the imperial family, the Government, and the people of that Empire the sympathetic message of the American Commonwealth oil the sad occasion of the death of His Majesty the Emperor Mutsuhito, whose long and benevolent reign was the greater part of Japan's modern history."", 'I invite your attention to the discussion by the Secretary of the Interior of the need for legislation with respect to mining claims, leases of coal lands in this country and in Alaska, and for similar disposition of oil, phosphate, and potash lands, and also to his discussion of the proper use to be made of water-power sites held by the Government.']",Neutral
1913,Woodrow Wilson,Democratic,0,[],NA
1914,Woodrow Wilson,Democratic,0,[],NA
