year,name,party,word_count
1790,George Washington,none,1400
1791,George Washington,none,2301
1792,George Washington,none,2096
1793,George Washington,none,1963
1794,George Washington,none,2913
1795,George Washington,none,1984
1796,George Washington,none,2865
1797,John Adams,Federalist,2057
1798,John Adams,Federalist,2218
1799,John Adams,Federalist,1505
1800,John Adams,Federalist,1372
1801,Thomas Jefferson,Democratic-Republican,3224
1802,Thomas Jefferson,Democratic-Republican,2199
1803,Thomas Jefferson,Democratic-Republican,2277
1804,Thomas Jefferson,Democratic-Republican,2099
1805,Thomas Jefferson,Democratic-Republican,2941
1806,Thomas Jefferson,Democratic-Republican,2866
1807,Thomas Jefferson,Democratic-Republican,2392
1808,Thomas Jefferson,Democratic-Republican,2686
1809,James Madison,Democratic-Republican,1831
1810,James Madison,Democratic-Republican,2446
1811,James Madison,Democratic-Republican,2275
1812,James Madison,Democratic-Republican,3242
1813,James Madison,Democratic-Republican,3258
1814,James Madison,Democratic-Republican,2114
1815,James Madison,Democratic-Republican,3154
1816,James Madison,Democratic-Republican,3366
1817,James Monroe,Democratic-Republican,4427
1818,James Monroe,Democratic-Republican,4377
1819,James Monroe,Democratic-Republican,4711
1820,James Monroe,Democratic-Republican,3441
1821,James Monroe,Democratic-Republican,5823
1822,James Monroe,Democratic-Republican,4734
1823,James Monroe,Democratic-Republican,6382
1824,James Monroe,Democratic-Republican,8418
1825,John Quincy Adams,Democratic-Republican,9000
1826,John Quincy Adams,Democratic-Republican,7745
1827,John Quincy Adams,Democratic-Republican,6983
1828,John Quincy Adams,Democratic-Republican,7310
1829,Andrew Jackson,Democratic,10523
1830,Andrew Jackson,Democratic,15072
1831,Andrew Jackson,Democratic,7189
1832,Andrew Jackson,Democratic,7875
1833,Andrew Jackson,Democratic,7901
1834,Andrew Jackson,Democratic,13446
1835,Andrew Jackson,Democratic,10809
1836,Andrew Jackson,Democratic,12355
1837,Martin Van Buren,Democratic,11435
1838,Martin Van Buren,Democratic,11475
1839,Martin Van Buren,Democratic,13416
1840,Martin Van Buren,Democratic,8976
1841,John Tyler,Whig & Democratic,8240
1842,John Tyler,Whig & Democratic,8401
1843,John Tyler,Whig & Democratic,8026
1844,John Tyler,Whig & Democratic,9309
1845,James Polk,Democratic,16107
1846,James Polk,Democratic,18218
1847,James Polk,Democratic,16407
1848,James Polk,Democratic,21287
1849,Zachary Taylor,Whig,7617
1850,Millard Fillmore,Whig,8318
1851,Millard Fillmore,Whig,13243
1852,Millard Fillmore,Whig,9922
1853,Franklin Pierce,Democratic,9587
1854,Franklin Pierce,Democratic,10134
1855,Franklin Pierce,Democratic,11610
1856,Franklin Pierce,Democratic,10473
1857,James Buchanan,Democratic,13651
1858,James Buchanan,Democratic,16347
1859,James Buchanan,Democratic,12336
1860,James Buchanan,Democratic,14025
1861,Abraham Lincoln,Republican,6976
1862,Abraham Lincoln,Republican,8392
1863,Abraham Lincoln,Republican,6111
1864,Abraham Lincoln,Republican,5863
1865,Andrew Johnson,National Union,9218
1866,Andrew Johnson,National Union,7127
1867,Andrew Johnson,National Union,11981
1868,Andrew Johnson,National Union,9817
1869,Ulysses S Grant,Republican,7699
1870,Ulysses S Grant,Republican,8733
1871,Ulysses S Grant,Republican,6455
1872,Ulysses S Grant,Republican,3923
1873,Ulysses S Grant,Republican,10019
1874,Ulysses S Grant,Republican,9192
1875,Ulysses S Grant,Republican,12200
1876,Ulysses S Grant,Republican,6790
1877,Rutherford B Hayes,Republican,8017
1878,Rutherford B Hayes,Republican,7878
1879,Rutherford B Hayes,Republican,11632
1880,Rutherford B Hayes,Republican,6589
1881,Chester A Arthur,Republican,3519
1882,Chester A Arthur,Republican,2684
1883,Chester A Arthur,Republican,3136
1884,Chester A Arthur,Republican,8947
1885,Grover Cleveland,Democratic,19746
1886,Grover Cleveland,Democratic,15135
1887,Grover Cleveland,Democratic,5289
1888,Grover Cleveland,Democratic,9020
1889,Benjamin Harrison,Republican,12999
1890,Benjamin Harrison,Republican,11520
1891,Benjamin Harrison,Republican,16290
1892,Benjamin Harrison,Republican,13676
