"name","party","word_count","year"
"Abraham Lincoln","Republican",6835.5,1862.5
"Andrew Jackson","Democratic",10646.25,1832.5
"Andrew Johnson","National Union",9535.75,1866.5
"Barack Obama","Democratic",6691.25,2012.5
"Benjamin Harrison","Republican",13621.25,1890.5
"Calvin Coolidge","Republican",8608.83333333333,1925.5
"Chester A Arthur","Republican",4571.5,1882.5
"Donald J Trump","Republican",5482.75,2018.5
"Dwight D Eisenhower","Republican",6024.77777777778,1957
"Franklin D Roosevelt","Democratic",3919.25,1939.5
"Franklin Pierce","Democratic",10451,1854.5
"George Bush","Republican",4420.5,1990.5
"George W Bush","Republican",5038.75,2004.5
"George Washington","none",2217.42857142857,1793
"Gerald R Ford","Republican",4564.66666666667,1976
"Grover Cleveland","Democratic",13388.625,1890.5
"Harry S Truman","Democratic",8284.5,1949.5
"Herbert Hoover","Republican",5546.75,1930.5
"James Buchanan","Democratic",14089.75,1858.5
"James Madison","Democratic-Republican",2710.75,1812.5
"James Monroe","Democratic-Republican",5289.125,1820.5
"James Polk","Democratic",18004.75,1846.5
"Jimmy Carter","Democratic",11194.25,1979.5
"John Adams","Federalist",1788,1798.5
"John F Kennedy","Democratic",5642.33333333333,1962
"John Quincy Adams","Democratic-Republican",7759.5,1826.5
"John Tyler","Whig & Democratic",8494,1842.5
"Joseph R Biden","Democratic",8276.33333333333,2022
"Lyndon B Johnson","Democratic",4818.16666666667,1966.5
"Martin Van Buren","Democratic",11325.5,1838.5
"Millard Fillmore","Whig",10494.3333333333,1851
"Richard Nixon","Republican",3940,1972
"Ronald Reagan","Republican",4560.42857142857,1985
"Rutherford B Hayes","Republican",8529,1878.5
"Theodore Roosevelt","Republican",19624.875,1904.5
"Thomas Jefferson","Democratic-Republican",2585.5,1804.5
"Ulysses S Grant","Republican",8126.375,1872.5
"Warren G Harding","Republican",5674,1921.5
"William H Taft","Republican",17369.75,1910.5
"William J Clinton","Democratic",7553.875,1996.5
"William Mc Kinley","Republican",16646.25,1898.5
"Woodrow Wilson","Democratic",4340.75,1916.5
"Zachary Taylor","Whig",7617,1849
