"name","year","Border","Climate & Environment","Economy","Gun","Immigration","Law & Crime","War & Military"
"Abraham Lincoln",1862.5,3.125,15.625,31.25,3.125,0,9.375,37.5
"Andrew Jackson",1832.5,3.33333333333333,10,16.6666666666667,3.33333333333333,3.33333333333333,6.66666666666667,56.6666666666667
"Andrew Johnson",1866.5,5.88235294117647,5.88235294117647,11.7647058823529,0,0,5.88235294117647,70.5882352941177
"Barack Obama",2012.5,5,5,20,0,5,5,60
"Benjamin Harrison",1890.5,0,18.1818181818182,22.7272727272727,0,0,13.6363636363636,45.4545454545455
"Calvin Coolidge",1925.5,7.40740740740741,11.1111111111111,3.7037037037037,0,0,3.7037037037037,74.0740740740741
"Chester A Arthur",1882.5,5,10,20,10,0,25,30
"Donald J Trump",2018.5,4.16666666666667,12.5,20.8333333333333,16.6666666666667,8.33333333333333,4.16666666666667,33.3333333333333
"Dwight D Eisenhower",1957,6.25,18.75,12.5,6.25,6.25,6.25,43.75
"Franklin D Roosevelt",1939.5,0,18.1818181818182,18.1818181818182,0,4.54545454545455,4.54545454545455,54.5454545454545
"Franklin Pierce",1854.5,3.125,3.125,3.125,3.125,0,3.125,84.375
"George Bush",1990.5,5.88235294117647,5.88235294117647,5.88235294117647,0,5.88235294117647,5.88235294117647,70.5882352941177
"George W Bush",2004.5,10.3448275862069,10.3448275862069,24.1379310344828,10.3448275862069,3.44827586206897,6.89655172413793,34.4827586206897
"George Washington",1793,0,15.625,18.75,3.125,6.25,3.125,53.125
"Gerald R Ford",1976,3.33333333333333,20,20,3.33333333333333,0,3.33333333333333,50
"Grover Cleveland",1890.5,3.125,6.25,9.375,3.125,3.125,9.375,65.625
"Harry S Truman",1949.5,3.7037037037037,11.1111111111111,14.8148148148148,3.7037037037037,0,3.7037037037037,62.962962962963
"Herbert Hoover",1930.5,10,10,13.3333333333333,0,6.66666666666667,0,60
"James Buchanan",1858.5,0,4.34782608695652,17.3913043478261,0,4.34782608695652,4.34782608695652,69.5652173913043
"James Madison",1812.5,7.69230769230769,3.84615384615385,15.3846153846154,11.5384615384615,3.84615384615385,0,57.6923076923077
"James Monroe",1820.5,4.54545454545455,9.09090909090909,4.54545454545455,4.54545454545455,4.54545454545455,9.09090909090909,63.6363636363636
"James Polk",1846.5,3.57142857142857,14.2857142857143,21.4285714285714,0,3.57142857142857,3.57142857142857,53.5714285714286
"Jimmy Carter",1979.5,0,11.7647058823529,11.7647058823529,5.88235294117647,0,0,70.5882352941177
"John Adams",1798.5,5.55555555555556,8.33333333333333,8.33333333333333,2.77777777777778,2.77777777777778,19.4444444444444,52.7777777777778
"John F Kennedy",1962,0,2.4390243902439,4.8780487804878,2.4390243902439,0,0,90.2439024390244
"John Quincy Adams",1826.5,15.7894736842105,10.5263157894737,21.0526315789474,0,5.26315789473684,5.26315789473684,42.1052631578947
"John Tyler",1842.5,5.55555555555556,19.4444444444444,11.1111111111111,8.33333333333333,2.77777777777778,5.55555555555556,47.2222222222222
"Joseph R Biden",2022,3.57142857142857,10.7142857142857,21.4285714285714,10.7142857142857,0,7.14285714285714,46.4285714285714
"Lyndon B Johnson",1966.5,0,18.1818181818182,27.2727272727273,0,0,9.09090909090909,45.4545454545455
"Martin Van Buren",1838.5,0,4.10958904109589,19.1780821917808,0,1.36986301369863,1.36986301369863,73.972602739726
"Millard Fillmore",1851,16.6666666666667,16.6666666666667,16.6666666666667,8.33333333333333,4.16666666666667,8.33333333333333,29.1666666666667
"Richard Nixon",1972,5.26315789473684,21.0526315789474,15.7894736842105,5.26315789473684,0,5.26315789473684,47.3684210526316
"Ronald Reagan",1985,2.85714285714286,17.1428571428571,5.71428571428571,2.85714285714286,0,5.71428571428571,65.7142857142857
"Rutherford B Hayes",1878.5,3.2258064516129,9.67741935483871,6.45161290322581,3.2258064516129,0,0,77.4193548387097
"Theodore Roosevelt",1904.5,13.0434782608696,8.69565217391304,17.3913043478261,0,4.34782608695652,4.34782608695652,52.1739130434783
"Thomas Jefferson",1804.5,11.1111111111111,5.55555555555556,11.1111111111111,0,11.1111111111111,5.55555555555556,55.5555555555556
"Ulysses S Grant",1872.5,3.7037037037037,18.5185185185185,25.9259259259259,0,3.7037037037037,11.1111111111111,37.037037037037
"Warren G Harding",1921.5,4.76190476190476,9.52380952380952,9.52380952380952,0,0,0,76.1904761904762
"William H Taft",1910.5,4.34782608695652,8.69565217391304,13.0434782608696,4.34782608695652,0,8.69565217391304,60.8695652173913
"William J Clinton",1996.5,0,5.55555555555556,22.2222222222222,5.55555555555556,0,11.1111111111111,55.5555555555556
"William Mc Kinley",1898.5,2.85714285714286,8.57142857142857,14.2857142857143,2.85714285714286,2.85714285714286,8.57142857142857,60
"Woodrow Wilson",1916.5,2.56410256410256,30.7692307692308,20.5128205128205,0,5.12820512820513,0,41.025641025641
"Zachary Taylor",1849,0,18.3673469387755,30.6122448979592,10.2040816326531,0,22.4489795918367,18.3673469387755
