Country,Year,Mentions,Party,President
United States of America,1790,3,Other,George Washington
Mexico,1790,0,Other,George Washington
Great Britain,1790,0,Other,George Washington
Spain,1790,0,Other,George Washington
France,1790,0,Other,George Washington
China,1790,0,Other,George Washington
Cuba,1790,0,Other,George Washington
Ussr/Russia,1790,0,Other,George Washington
Japan,1790,0,Other,George Washington
Germany,1790,0,Other,George Washington
South Korea,1790,0,Other,George Washington
United Kingdom,1790,0,Other,George Washington
Iraq,1790,0,Other,George Washington
Philippines,1790,0,Other,George Washington
Nicaragua,1790,0,Other,George Washington
Afghanistan,1790,0,Other,George Washington
Canada,1790,0,Other,George Washington
Brazil,1790,0,Other,George Washington
Venezuela,1790,0,Other,George Washington
Iran,1790,0,Other,George Washington
Turkey,1790,0,Other,George Washington
Peru,1790,0,Other,George Washington
Vietnam,1790,0,Other,George Washington
Panama,1790,0,Other,George Washington
Italy,1790,0,Other,George Washington
Portugal,1790,0,Other,George Washington
Chile,1790,0,Other,George Washington
Austria,1790,0,Other,George Washington
Colombia,1790,0,Other,George Washington
Netherlands,1790,1,Other,George Washington
Denmark,1790,0,Other,George Washington
Israel,1790,0,Other,George Washington
Egypt,1790,0,Other,George Washington
Belgium,1790,0,Other,George Washington
Sweden,1790,0,Other,George Washington
Costa Rica,1790,0,Other,George Washington
Argentina,1790,0,Other,George Washington
Liberia,1790,0,Other,George Washington
Greece,1790,0,Other,George Washington
Poland,1790,0,Other,George Washington
Bolivia,1790,0,Other,George Washington
Honduras,1790,0,Other,George Washington
India,1790,0,Other,George Washington
Geneva,1790,0,Other,George Washington
Ecuador,1790,0,Other,George Washington
Pakistan,1790,0,Other,George Washington
The West Indies,1790,0,Other,George Washington
Libya,1790,0,Other,George Washington
Norway,1790,0,Other,George Washington
Prussia,1790,0,Other,George Washington
Australia,1790,0,Other,George Washington
Ukraine,1790,0,Other,George Washington
Hungary,1790,0,Other,George Washington
Lebanon,1790,0,Other,George Washington
North Korea,1790,0,Other,George Washington
Guatemala,1790,0,Other,George Washington
Haiti,1790,0,Other,George Washington
Switzerland,1790,0,Other,George Washington
Syria,1790,0,Other,George Washington
Morocco,1790,0,Other,George Washington
The Dominican Republic,1790,0,Other,George Washington
New Zealand,1790,0,Other,George Washington
Palestine,1790,0,Other,George Washington
Bulgaria,1790,0,Other,George Washington
Ireland,1790,0,Other,George Washington
Bosnia,1790,0,Other,George Washington
Armenia,1790,0,Other,George Washington
El Salvador,1790,0,Other,George Washington
Indonesia,1790,0,Other,George Washington
Kosovo,1790,0,Other,George Washington
Laos,1790,0,Other,George Washington
Nigeria,1790,0,Other,George Washington
Yemen,1790,0,Other,George Washington
Czechoslovakia,1790,0,Other,George Washington
Northern Ireland,1790,0,Other,George Washington
Somalia,1790,0,Other,George Washington
Uruguay,1790,0,Other,George Washington
Cambodia,1790,0,Other,George Washington
Saudi Arabia,1790,0,Other,George Washington
South Africa,1790,0,Other,George Washington
Yugoslavia,1790,0,Other,George Washington
Finland,1790,0,Other,George Washington
Thailand,1790,0,Other,George Washington
Jordan,1790,0,Other,George Washington
Kuwait,1790,0,Other,George Washington
Lithuania,1790,0,Other,George Washington
Sudan,1790,0,Other,George Washington
Taiwan,1790,0,Other,George Washington
United States of America,1791,16,Other,George Washington
Mexico,1791,0,Other,George Washington
Great Britain,1791,0,Other,George Washington
Spain,1791,0,Other,George Washington
France,1791,0,Other,George Washington
China,1791,0,Other,George Washington
Cuba,1791,0,Other,George Washington
Ussr/Russia,1791,0,Other,George Washington
Japan,1791,0,Other,George Washington
Germany,1791,0,Other,George Washington
South Korea,1791,0,Other,George Washington
United Kingdom,1791,0,Other,George Washington
Iraq,1791,0,Other,George Washington
Philippines,1791,0,Other,George Washington
Nicaragua,1791,0,Other,George Washington
Afghanistan,1791,0,Other,George Washington
Canada,1791,0,Other,George Washington
Brazil,1791,0,Other,George Washington
Venezuela,1791,0,Other,George Washington
Iran,1791,0,Other,George Washington
Turkey,1791,0,Other,George Washington
Peru,1791,0,Other,George Washington
Vietnam,1791,0,Other,George Washington
Panama,1791,0,Other,George Washington
Italy,1791,0,Other,George Washington
Portugal,1791,0,Other,George Washington
Chile,1791,0,Other,George Washington
Austria,1791,0,Other,George Washington
Colombia,1791,0,Other,George Washington
Netherlands,1791,1,Other,George Washington
Denmark,1791,0,Other,George Washington
Israel,1791,0,Other,George Washington
Egypt,1791,0,Other,George Washington
Belgium,1791,0,Other,George Washington
Sweden,1791,0,Other,George Washington
Costa Rica,1791,0,Other,George Washington
Argentina,1791,0,Other,George Washington
Liberia,1791,0,Other,George Washington
Greece,1791,0,Other,George Washington
Poland,1791,0,Other,George Washington
Bolivia,1791,0,Other,George Washington
Honduras,1791,0,Other,George Washington
India,1791,0,Other,George Washington
Geneva,1791,0,Other,George Washington
Ecuador,1791,0,Other,George Washington
Pakistan,1791,0,Other,George Washington
The West Indies,1791,0,Other,George Washington
Libya,1791,0,Other,George Washington
Norway,1791,0,Other,George Washington
