year,oil,college,gun,border,terrorism,immigration,economy,crime,abortion,housing,healthcare,refugees,war,climate,military,law enforcement,racism,energy,inflation,deficit,debt,farmers,election,business,women,children,retirement,diplomacy,workforce,internet,satellite,transportation,freedom,hope,equality,liberty,diaspora,minorties,religion,faith,police,racism,veterans,weapons,taxes,infrastructure,trade,benefits,nuclear,students
1790,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1791,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1792,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1793,0,0,0,0,0,0,1,0,0,0,0,0,4,0,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1794,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1795,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1796,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
1797,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0
1798,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1799,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
