"name","year","Border","Climate & Environment","Economy","Gun","Immigration","Law & Crime","War & Military"
"Abraham Lincoln",1861,14.8148148148148,33.3333333333333,25.9259259259259,0,3.7037037037037,0,22.2222222222222
"Abraham Lincoln",1862,0,11.1111111111111,37.037037037037,11.1111111111111,0,25.9259259259259,14.8148148148148
"Abraham Lincoln",1863,0,14.6341463414634,26.8292682926829,0,0,2.4390243902439,56.0975609756098
"Abraham Lincoln",1864,0,10.3448275862069,34.4827586206897,0,0,10.3448275862069,44.8275862068966
"Andrew Jackson",1829,40,20,0,0,0,0,40
"Andrew Jackson",1830,0,8.16326530612245,28.5714285714286,0,2.04081632653061,0,61.2244897959184
"Andrew Jackson",1831,0,4.70588235294118,0,0,0,0,95.2941176470588
"Andrew Jackson",1832,0,0,14.2857142857143,0,0,0,85.7142857142857
"Andrew Jackson",1833,0,20,0,20,0,0,60
"Andrew Jackson",1834,7.14285714285714,14.2857142857143,30.952380952381,11.9047619047619,7.14285714285714,7.14285714285714,21.4285714285714
"Andrew Jackson",1835,0,20,30,0,0,20,30
"Andrew Jackson",1836,8.57142857142857,20,14.2857142857143,2.85714285714286,2.85714285714286,37.1428571428571,14.2857142857143
"Andrew Johnson",1865,14.2857142857143,0,4.76190476190476,0,0,0,80.9523809523809
"Andrew Johnson",1866,0,8.33333333333333,8.33333333333333,8.33333333333333,0,0,75
"Andrew Johnson",1867,4.34782608695652,8.69565217391304,8.69565217391304,0,0,21.7391304347826,56.5217391304348
"Andrew Johnson",1868,7.14285714285714,7.14285714285714,21.4285714285714,0,0,0,64.2857142857143
"Barack Obama",2010,2.7027027027027,2.7027027027027,24.3243243243243,0,8.10810810810811,2.7027027027027,59.4594594594595
"Barack Obama",2011,16.6666666666667,0,0,0,0,0,83.3333333333333
"Barack Obama",2012,0,7.69230769230769,7.69230769230769,0,0,0,84.6153846153846
"Barack Obama",2013,0,0,14.2857142857143,0,14.2857142857143,14.2857142857143,57.1428571428571
"Barack Obama",2014,0,23.5294117647059,47.0588235294118,0,0,5.88235294117647,23.5294117647059
"Barack Obama",2015,13.3333333333333,0,20,0,0,0,66.6666666666667
"Barack Obama",2016,0,6.89655172413793,31.0344827586207,0,0,0,62.0689655172414
"Benjamin Harrison",1889,5.88235294117647,11.7647058823529,5.88235294117647,0,0,0,76.4705882352941
"Benjamin Harrison",1890,0,37.9310344827586,41.3793103448276,3.44827586206897,0,6.89655172413793,10.3448275862069
"Benjamin Harrison",1891,0,8.33333333333333,16.6666666666667,0,0,22.2222222222222,52.7777777777778
"Benjamin Harrison",1892,0,14.2857142857143,0,0,0,0,85.7142857142857
"Calvin Coolidge",1923,23.0769230769231,23.0769230769231,7.69230769230769,0,0,23.0769230769231,23.0769230769231
"Calvin Coolidge",1924,0,8.33333333333333,0,0,8.33333333333333,8.33333333333333,75
"Calvin Coolidge",1925,0,10,0,10,0,0,80
"Calvin Coolidge",1926,4.44444444444444,12.2222222222222,1.11111111111111,0,0,0,82.2222222222222
"Calvin Coolidge",1927,4.34782608695652,4.34782608695652,4.34782608695652,0,0,0,86.9565217391304
"Calvin Coolidge",1928,12.5,0,0,0,0,0,87.5
"Chester A Arthur",1881,2.63157894736842,2.63157894736842,10.5263157894737,15.7894736842105,0,52.6315789473684,15.7894736842105
"Chester A Arthur",1882,10,0,90,0,0,0,0
"Chester A Arthur",1883,0,15.3846153846154,7.69230769230769,0,0,0,76.9230769230769
"Chester A Arthur",1884,0,21.4285714285714,7.14285714285714,0,0,7.14285714285714,64.2857142857143
"Donald J Trump",2017,5.88235294117647,0,52.9411764705882,0,11.7647058823529,5.88235294117647,23.5294117647059
"Donald J Trump",2018,0,100,0,0,0,0,0
"Donald J Trump",2019,6.81818181818182,18.1818181818182,18.1818181818182,34.0909090909091,9.09090909090909,4.54545454545455,9.09090909090909
"Donald J Trump",2020,0,3.33333333333333,3.33333333333333,6.66666666666667,0,6.66666666666667,80
"Dwight D Eisenhower",1953,7.69230769230769,7.69230769230769,0,0,7.69230769230769,7.69230769230769,69.2307692307692
"Dwight D Eisenhower",1954,0,0,0,0,0,50,50
"Dwight D Eisenhower",1955,0,0,0,0,33.3333333333333,33.3333333333333,33.3333333333333
"Dwight D Eisenhower",1956,3.57142857142857,35.7142857142857,7.14285714285714,0,0,0,53.5714285714286
"Dwight D Eisenhower",1957,0,23.9130434782609,23.9130434782609,0,6.52173913043478,0,45.6521739130435
"Dwight D Eisenhower",1958,12.5,12.5,0,0,0,0,75
"Dwight D Eisenhower",1959,6.66666666666667,0,13.3333333333333,40,6.66666666666667,6.66666666666667,26.6666666666667
"Dwight D Eisenhower",1960,20,0,0,0,20,20,40
"Dwight D Eisenhower",1961,0,16.6666666666667,0,0,0,0,83.3333333333333
"Franklin D Roosevelt",1934,0,16.6666666666667,16.6666666666667,0,0,16.6666666666667,50
"Franklin D Roosevelt",1935,0,0,17.6470588235294,0,5.88235294117647,5.88235294117647,70.5882352941177
"Franklin D Roosevelt",1936,0,1.88679245283019,3.77358490566038,0,0,0,94.3396226415094
"Franklin D Roosevelt",1937,0,28.2051282051282,30.7692307692308,2.56410256410256,7.69230769230769,0,30.7692307692308
"Franklin D Roosevelt",1938,0,11.1111111111111,27.7777777777778,0,0,16.6666666666667,44.4444444444444
"Franklin D Roosevelt",1939,50,0,0,0,0,50,0
"Franklin D Roosevelt",1940,0,47.6190476190476,14.2857142857143,0,0,9.52380952380952,28.5714285714286
"Franklin D Roosevelt",1941,18.1818181818182,9.09090909090909,36.3636363636364,0,18.1818181818182,0,18.1818181818182
"Franklin D Roosevelt",1942,3.33333333333333,3.33333333333333,13.3333333333333,0,10,10,60
"Franklin D Roosevelt",1943,0,4.76190476190476,9.52380952380952,0,0,0,85.7142857142857
"Franklin D Roosevelt",1944,0,80,0,0,0,0,20
"Franklin D Roosevelt",1945,0,14.2857142857143,19.047619047619,0,0,19.047619047619,47.6190476190476
"Franklin Pierce",1853,0,0,25,0,0,0,75
"Franklin Pierce",1854,0,14.2857142857143,14.2857142857143,14.2857142857143,0,0,57.1428571428571
"Franklin Pierce",1855,3.48837209302326,3.48837209302326,0,2.32558139534884,0,2.32558139534884,88.3720930232558
"Franklin Pierce",1856,0,3.33333333333333,3.33333333333333,0,0,6.66666666666667,86.6666666666667
"George Bush",1989,25,0,0,0,25,25,25
"George Bush",1990,0,0,50,0,0,33.3333333333333,16.6666666666667
"George Bush",1991,4,16,0,0,0,0,80
"George Bush",1992,4,0,4,0,0,0,92
"George W Bush",2001,11.1111111111111,11.1111111111111,0,0,0,5.55555555555556,72.2222222222222
"George W Bush",2002,1.78571428571429,14.2857142857143,23.2142857142857,42.8571428571429,0,8.92857142857143,8.92857142857143
"George W Bush",2003,7.14285714285714,0,21.4285714285714,0,0,0,71.4285714285714
"George W Bush",2004,10,0,20,0,0,0,70
"George W Bush",2005,7.14285714285714,10.7142857142857,7.14285714285714,7.14285714285714,7.14285714285714,14.2857142857143,46.4285714285714
"George W Bush",2006,29.5454545454545,4.54545454545455,27.2727272727273,0,6.81818181818182,0,31.8181818181818
"George W Bush",2007,0,23.5294117647059,35.2941176470588,2.94117647058824,0,8.82352941176471,29.4117647058824
"George W Bush",2008,0,10,50,0,0,16.6666666666667,23.3333333333333
"George Washington",1790,0,9.375,43.75,3.125,3.125,3.125,37.5
"George Washington",1791,0,69.4444444444444,13.8888888888889,0,0,0,16.6666666666667
"George Washington",1792,5.26315789473684,0,0,0,2.63157894736842,0,92.1052631578947
"George Washington",1793,0,0,0,0,0,0,100
"George Washington",1794,4.76190476190476,19.047619047619,42.8571428571429,0,0,0,33.3333333333333
"George Washington",1795,0,14.2857142857143,38.0952380952381,0,0,9.52380952380952,38.0952380952381
"George Washington",1796,0,4.16666666666667,8.33333333333333,6.94444444444444,19.4444444444444,6.94444444444444,54.1666666666667
"Gerald R Ford",1975,4.34782608695652,39.1304347826087,32.6086956521739,0,2.17391304347826,2.17391304347826,19.5652173913043
"Gerald R Ford",1976,0,0,12.5,0,0,0,87.5
"Gerald R Ford",1977,2.63157894736842,0,7.89473684210526,5.26315789473684,0,7.89473684210526,76.3157894736842
"Grover Cleveland",1885,9.09090909090909,4.54545454545455,0,18.1818181818182,9.09090909090909,27.2727272727273,31.8181818181818
"Grover Cleveland",1886,0,6.25,12.5,0,0,0,81.25
"Grover Cleveland",1887,0,0,2.04081632653061,4.08163265306122,0,2.04081632653061,91.8367346938776
"Grover Cleveland",1888,0,4.65116279069767,9.30232558139535,0,0,0,86.046511627907
"Grover Cleveland",1893,9.30232558139535,16.2790697674419,37.2093023255814,0,4.65116279069767,9.30232558139535,23.2558139534884
"Grover Cleveland",1894,0,18.75,3.125,0,0,31.25,46.875
"Grover Cleveland",1895,0,5.55555555555556,0,0,0,0,94.4444444444444
"Grover Cleveland",1896,0,0,8.82352941176471,11.7647058823529,0,8.82352941176471,70.5882352941177
"Harry S Truman",1946,12.5,12.5,0,25,0,0,50
"Harry S Truman",1947,0,5.40540540540541,0,2.7027027027027,0,0,91.8918918918919
"Harry S Truman",1948,0,7.40740740740741,7.40740740740741,7.40740740740741,0,11.1111111111111,66.6666666666667
"Harry S Truman",1949,2.32558139534884,34.8837209302326,51.1627906976744,0,0,0,11.6279069767442
"Harry S Truman",1950,0,0,0,16.6666666666667,0,0,83.3333333333333
"Harry S Truman",1951,5.71428571428571,2.85714285714286,8.57142857142857,0,0,2.85714285714286,80
"Harry S Truman",1952,6.66666666666667,13.3333333333333,10,0,0,13.3333333333333,56.6666666666667
"Harry S Truman",1953,0,4.16666666666667,4.16666666666667,0,0,0,91.6666666666667
"Herbert Hoover",1929,16.2162162162162,16.2162162162162,18.9189189189189,0,10.8108108108108,0,37.8378378378378
"Herbert Hoover",1930,5.71428571428571,0,0,0,0,0,94.2857142857143
"Herbert Hoover",1931,0,0,22.7272727272727,0,9.09090909090909,0,68.1818181818182
"Herbert Hoover",1932,14.2857142857143,19.047619047619,9.52380952380952,0,0,4.76190476190476,52.3809523809524
"James Buchanan",1857,0,2,8,2,0,6,82
"James Buchanan",1858,0,10.5263157894737,36.8421052631579,0,10.5263157894737,0,42.1052631578947
"James Buchanan",1859,0,6.66666666666667,6.66666666666667,0,6.66666666666667,6.66666666666667,73.3333333333333
"James Buchanan",1860,0,0,42.8571428571429,0,28.5714285714286,0,28.5714285714286
"James Madison",1809,9.09090909090909,6.06060606060606,0,6.06060606060606,3.03030303030303,0,75.7575757575758
"James Madison",1810,10.3448275862069,13.7931034482759,27.5862068965517,0,0,3.44827586206897,44.8275862068966
"James Madison",1811,5.55555555555556,0,5.55555555555556,0,0,0,88.8888888888889
"James Madison",1812,0,0,0,10,0,0,90
"James Madison",1813,0,33.3333333333333,33.3333333333333,0,0,0,33.3333333333333
"James Madison",1814,10,13.3333333333333,36.6666666666667,0,6.66666666666667,3.33333333333333,30
"James Madison",1815,0,0,22.7272727272727,43.1818181818182,6.81818181818182,0,27.2727272727273
"James Madison",1816,23.0769230769231,0,23.0769230769231,0,0,0,53.8461538461538
"James Monroe",1817,16.6666666666667,25,8.33333333333333,0,0,0,50
"James Monroe",1818,0,0,20,0,0,0,80
"James Monroe",1819,6.97674418604651,2.32558139534884,9.30232558139535,0,6.97674418604651,13.953488372093,60.4651162790698
"James Monroe",1820,0,0,0,0,0,0,100
"James Monroe",1821,2.12765957446809,6.38297872340426,4.25531914893617,0,0,10.6382978723404,76.5957446808511
"James Monroe",1822,19.047619047619,14.2857142857143,0,4.76190476190476,0,0,61.9047619047619
"James Monroe",1823,0,33.3333333333333,8.33333333333333,0,0,8.33333333333333,50
"James Monroe",1824,4.54545454545455,18.1818181818182,0,13.6363636363636,4.54545454545455,0,59.0909090909091
"James Polk",1845,0,28.5714285714286,38.0952380952381,2.38095238095238,2.38095238095238,0,28.5714285714286
"James Polk",1846,3.44827586206897,0,17.2413793103448,0,6.89655172413793,3.44827586206897,68.9655172413793
"James Polk",1847,0,13.3333333333333,20,0,0,6.66666666666667,60
"James Polk",1848,16.6666666666667,4.16666666666667,4.16666666666667,0,0,4.16666666666667,70.8333333333333
"Jimmy Carter",1978,0,2.4390243902439,12.1951219512195,9.75609756097561,0,0,75.609756097561
"Jimmy Carter",1979,0,23.5294117647059,5.88235294117647,0,5.88235294117647,0,64.7058823529412
"Jimmy Carter",1980,0,0,16.6666666666667,0,0,16.6666666666667,66.6666666666667
"Jimmy Carter",1981,0,33.3333333333333,0,0,0,0,66.6666666666667
"John Adams",1797,13.7931034482759,24.1379310344828,20.6896551724138,0,10.3448275862069,0,31.0344827586207
"John Adams",1798,20,0,10,0,0,15,55
"John Adams",1799,3.2258064516129,6.45161290322581,3.2258064516129,0,0,0,87.0967741935484
"John Adams",1800,0,3.03030303030303,6.06060606060606,4.54545454545455,1.51515151515152,39.3939393939394,45.4545454545455
"John F Kennedy",1961,0,5.55555555555556,5.55555555555556,0,0,5.55555555555556,83.3333333333333
"John F Kennedy",1962,4.76190476190476,9.52380952380952,14.2857142857143,4.76190476190476,0,0,66.6666666666667
"John F Kennedy",1963,0,0,3.48837209302326,1.16279069767442,0,0,95.3488372093023
"John Quincy Adams",1825,45,0,0,0,0,0,55
"John Quincy Adams",1826,2.85714285714286,5.71428571428571,40,0,5.71428571428571,5.71428571428571,40
"John Quincy Adams",1827,0,0,0,0,0,0,100
"John Quincy Adams",1828,0,80,0,0,0,0,20
"John Tyler",1841,0,2.4390243902439,0,0,0,4.8780487804878,92.6829268292683
"John Tyler",1842,7.14285714285714,14.2857142857143,0,0,0,0,78.5714285714286
"John Tyler",1843,3.77358490566038,37.7358490566038,24.5283018867925,11.3207547169811,5.66037735849057,1.88679245283019,15.0943396226415
"John Tyler",1844,11.5384615384615,11.5384615384615,3.84615384615385,19.2307692307692,7.69230769230769,11.5384615384615,34.6153846153846
"Joseph R Biden",2021,12.5,0,6.25,43.75,6.25,0,31.25
"Joseph R Biden",2022,2.85714285714286,25.7142857142857,40,5.71428571428571,0,11.4285714285714,14.2857142857143
"Joseph R Biden",2023,0,2.94117647058824,8.82352941176471,2.94117647058824,0,2.94117647058824,82.3529411764706
"Lyndon B Johnson",1964,0,0,25,0,0,8.33333333333333,66.6666666666667
"Lyndon B Johnson",1965,0,50,0,0,0,25,25
"Lyndon B Johnson",1966,4.76190476190476,14.2857142857143,42.8571428571429,0,0,4.76190476190476,33.3333333333333
"Lyndon B Johnson",1967,0,22.2222222222222,44.4444444444444,0,0,0,33.3333333333333
"Lyndon B Johnson",1968,0,8.33333333333333,8.33333333333333,0,0,0,83.3333333333333
"Lyndon B Johnson",1969,0,11.1111111111111,11.1111111111111,0,0,44.4444444444444,33.3333333333333
"Martin Van Buren",1837,0,0,0,0,0,0,100
"Martin Van Buren",1838,0,4.16666666666667,8.33333333333333,0,0,0,87.5
"Martin Van Buren",1839,0,1.8018018018018,14.8648648648649,0,0.45045045045045,0.45045045045045,82.4324324324324
"Martin Van Buren",1840,2.56410256410256,15.3846153846154,51.2820512820513,0,5.12820512820513,2.56410256410256,23.0769230769231
"Millard Fillmore",1850,24.390243902439,19.5121951219512,14.6341463414634,14.6341463414634,4.8780487804878,9.75609756097561,12.1951219512195
"Millard Fillmore",1851,5.55555555555556,16.6666666666667,5.55555555555556,0,0,0,72.2222222222222
"Millard Fillmore",1852,7.69230769230769,15.3846153846154,30.7692307692308,0,0,15.3846153846154,30.7692307692308
"Richard Nixon",1970,0,0,28.5714285714286,0,0,14.2857142857143,57.1428571428571
"Richard Nixon",1971,0,39.2857142857143,39.2857142857143,0,0,0,21.4285714285714
"Richard Nixon",1972,5.55555555555556,11.1111111111111,5.55555555555556,0,0,5.55555555555556,72.2222222222222
"Richard Nixon",1973,18.5185185185185,3.7037037037037,3.7037037037037,22.2222222222222,3.7037037037037,7.40740740740741,40.7407407407407
"Richard Nixon",1974,6.25,31.25,0,0,0,6.25,56.25
